Id,Sex,PopNum,Population,GOL,NOL,BNL
1,M,1,NORSE,189,185,100
2,M,1,NORSE,182,178,102
3,M,1,NORSE,191,187,102
4,M,1,NORSE,191,188,100
5,M,1,NORSE,178,177,97
6,M,1,NORSE,194,191,106
7,M,1,NORSE,186,183,95
8,M,1,NORSE,186,184,103
9,M,1,NORSE,186,182,96
10,M,1,NORSE,189,189,101
11,M,1,NORSE,186,183,107
12,M,1,NORSE,182,182,99
13,M,1,NORSE,193,191,101
14,M,1,NORSE,195,194,105
15,M,1,NORSE,187,183,103
16,M,1,NORSE,189,187,97
17,M,1,NORSE,179,174,101
18,M,1,NORSE,175,174,100
19,M,1,NORSE,191,189,109
20,M,1,NORSE,192,191,100
21,M,1,NORSE,194,192,104
22,M,1,NORSE,195,191,100
23,M,1,NORSE,184,182,102
24,M,1,NORSE,186,185,109
25,M,1,NORSE,195,193,102
26,M,1,NORSE,189,187,102
27,M,1,NORSE,188,185,101
28,M,1,NORSE,182,180,104
29,M,1,NORSE,188,185,100
30,M,1,NORSE,186,183,104
31,M,1,NORSE,186,184,96
32,M,1,NORSE,201,198,107
33,M,1,NORSE,189,186,97
34,M,1,NORSE,192,187,99
35,M,1,NORSE,190,186,106
36,M,1,NORSE,189,187,104
37,M,1,NORSE,181,180,98
38,M,1,NORSE,194,192,105
39,M,1,NORSE,187,185,98
40,M,1,NORSE,187,184,105
41,M,1,NORSE,192,190,102
42,M,1,NORSE,179,178,103
43,M,1,NORSE,188,184,105
44,M,1,NORSE,179,178,101
45,M,1,NORSE,190,189,99
46,M,1,NORSE,190,189,101
47,M,1,NORSE,195,193,101
48,M,1,NORSE,200,198,112
49,M,1,NORSE,190,190,101
50,M,1,NORSE,187,186,98
51,M,1,NORSE,190,189,99
52,M,1,NORSE,188,187,98
53,M,1,NORSE,193,189,104
54,M,1,NORSE,192,191,102
55,M,1,NORSE,189,185,106
56,F,1,NORSE,182,182,97
57,F,1,NORSE,170,169,91
58,F,1,NORSE,180,179,98
59,F,1,NORSE,177,177,92
60,F,1,NORSE,180,179,99
61,F,1,NORSE,180,178,99
62,F,1,NORSE,176,175,92
