Id,Sex,PopNum,Population,GOL,NOL,BNL
1,M,1,NORSE,189,185,100
2,M,1,NORSE,182,178,102
3,M,1,NORSE,191,187,102
4,M,1,NORSE,191,188,100
5,M,1,NORSE,178,177,97
6,M,1,NORSE,194,191,106
7,M,1,NORSE,186,183,95
8,M,1,NORSE,186,184,103
9,M,1,NORSE,186,182,96
10,M,1,NORSE,189,189,101
11,M,1,NORSE,186,183,107
12,M,1,NORSE,182,182,99
13,M,1,NORSE,193,191,101
14,M,1,NORSE,195,194,105
15,M,1,NORSE,187,183,103
16,M,1,NORSE,189,187,97
17,M,1,NORSE,179,174,101
18,M,1,NORSE,175,174,100
19,M,1,NORSE,191,189,109
20,M,1,NORSE,192,191,100
21,M,1,NORSE,194,192,104
22,M,1,NORSE,195,191,100
23,M,1,NORSE,184,182,102
24,M,1,NORSE,186,185,109
25,M,1,NORSE,195,193,102
26,M,1,NORSE,189,187,102
27,M,1,NORSE,188,185,101
28,M,1,NORSE,182,180,104
29,M,1,NORSE,188,185,100
30,M,1,NORSE,186,183,104
31,M,1,NORSE,186,184,96
32,M,1,NORSE,201,198,107
33,M,1,NORSE,189,186,97
34,M,1,NORSE,192,187,99
35,M,1,NORSE,190,186,106
36,M,1,NORSE,189,187,104
37,M,1,NORSE,181,180,98
38,M,1,NORSE,194,192,105
39,M,1,NORSE,187,185,98
40,M,1,NORSE,187,184,105
41,M,1,NORSE,192,190,102
42,M,1,NORSE,179,178,103
43,M,1,NORSE,188,184,105
44,M,1,NORSE,179,178,101
45,M,1,NORSE,190,189,99
46,M,1,NORSE,190,189,101
47,M,1,NORSE,195,193,101
48,M,1,NORSE,200,198,112
49,M,1,NORSE,190,190,101
50,NA,1,NORSE,187,186,98
51,NA,1,NORSE,190,189,99
52,NA,1,NORSE,188,187,98
53,NA,1,NORSE,193,189,104
54,NA,1,NORSE,192,191,102
55,NA,1,NORSE,189,185,106
56,NA,1,NORSE,182,182,97
57,NA,1,NORSE,170,169,91
58,NA,1,NORSE,180,179,98
59,NA,1,NORSE,177,177,92
60,NA,1,NORSE,180,179,99
61,NA,1,NORSE,180,178,99
62,F,1,NORSE,176,175,92
63,F,1,NORSE,172,172,94
64,F,1,NORSE,180,180,95
65,F,1,NORSE,171,168,88
66,F,1,NORSE,181,180,102
67,F,1,NORSE,182,180,96
68,F,1,NORSE,181,180,101
69,F,1,NORSE,179,178,96
70,F,1,NORSE,175,174,101
71,F,1,NORSE,184,182,97
72,F,1,NORSE,179,178,97
73,F,1,NORSE,176,175,99
74,F,1,NORSE,180,177,95
75,F,1,NORSE,174,172,91
76,F,1,NORSE,177,176,92
77,F,1,NORSE,182,181,97
78,F,1,NORSE,177,173,99
79,F,1,NORSE,186,183,101
80,F,1,NORSE,176,176,97
81,F,1,NORSE,181,181,98
82,F,1,NORSE,176,175,101
83,F,1,NORSE,183,181,94
84,F,1,NORSE,174,172,98
85,F,1,NORSE,184,184,101
86,F,1,NORSE,188,187,99
87,F,1,NORSE,178,177,99
88,F,1,NORSE,189,187,94
89,F,1,NORSE,180,179,96
90,F,1,NORSE,187,186,102
91,F,1,NORSE,178,176,95
92,F,1,NORSE,178,176,101
93,F,1,NORSE,180,179,94
94,F,1,NORSE,177,177,104
95,F,1,NORSE,189,188,97
96,F,1,NORSE,184,182,101
97,F,1,NORSE,182,181,100
98,F,1,NORSE,181,181,97
99,F,1,NORSE,176,174,98
100,F,1,NORSE,179,177,97
101,F,1,NORSE,187,185,99
102,F,1,NORSE,180,179,105
103,F,1,NORSE,180,179,92
104,F,1,NORSE,180,179,93
105,F,1,NORSE,193,190,100
106,F,1,NORSE,178,178,98
107,F,1,NORSE,188,187,102
108,F,1,NORSE,179,178,93
109,F,1,NORSE,176,174,98
110,F,1,NORSE,177,175,100
